   9.99864398073341D-007   1.35076783688747D-015
   1.99972875554227D-004   2.70152977980594D-013
   3.99945751106329D-004   5.40305953024089D-013
   5.99918603378525D-004   8.10458896617639D-013
   7.99891502210533D-004   1.08061190311108D-012
   9.99864307922918D-004   1.35076478380474D-012
   1.19983720675493D-003   1.62091779029818D-012
   1.39981001246731D-003   1.89107067099184D-012
   1.59978300441894D-003   2.16122380328506D-012
   1.79975571701170D-003   2.43137655817894D-012
   1.99972861584371D-003   2.70152956467238D-012
   2.19970151467572D-003   2.97168257116582D-012
   2.39967441350772D-003   3.24183557765926D-012
   2.59964712610049D-003   3.51198833255315D-012
   2.79962002493249D-003   3.78214133904658D-012
   2.99959292376450D-003   4.05229434554002D-012
   3.19956600883575D-003   4.32244760363301D-012
   3.39953890766776D-003   4.59260061012645D-012
   3.59951143402128D-003   4.86275311342079D-012
   3.79948433285329D-003   5.13290611991422D-012
   3.99945723168529D-003   5.40305912640766D-012
   4.19943013051730D-003   5.67321213290110D-012
   4.39940302934931D-003   5.94336513939454D-012
   4.59937592818132D-003   6.21351814588798D-012
   4.79934882701332D-003   6.48367115238142D-012
   4.99932172584533D-003   6.75382415887486D-012
   5.19929425219885D-003   7.02397666216919D-012
   5.39926752350935D-003   7.29413017186173D-012
   5.59924004986287D-003   7.56428267515607D-012
   5.79921332117336D-003   7.83443618484861D-012
   5.99918584752688D-003   8.10458868814295D-012
   6.19915874635889D-003   8.37474169463638D-012
   6.39913201766938D-003   8.64489520432893D-012
   6.59910454402290D-003   8.91504770762326D-012
   6.79907781533340D-003   9.18520121731581D-012
   6.99905034168692D-003   9.45535372061014D-012
   7.19902286804043D-003   9.72550622390447D-012
   7.39899613935093D-003   9.99565973359701D-012
   7.59896866570445D-003   1.02658122368914D-011
   7.79894193701495D-003   1.05359657465839D-011
   7.99891446336846D-003   1.08061182498782D-011
   8.19888698972198D-003   1.10762707531726D-011
   8.39886026103248D-003   1.13464242628651D-011
   8.59883353234298D-003   1.16165777725576D-011
   8.79880605869649D-003   1.18867302758520D-011
   8.99877933000699D-003   1.21568837855445D-011
   9.19875185636051D-003   1.24270362888389D-011
   9.39872438271403D-003   1.26971887921332D-011
   9.59869765402452D-003   1.29673423018257D-011
   9.79867092533502D-003   1.32374958115183D-011
   9.99864345168854D-003   1.35076483148126D-011
   1.01986159780421D-002   1.37778008181069D-011
   1.03985885043956D-002   1.40479533214013D-011
   1.05985625206630D-002   1.43181078374920D-011
   1.07985350470166D-002   1.45882603407864D-011
   1.09985075733701D-002   1.48584128440807D-011
   1.11984800997236D-002   1.51285653473750D-011
   1.13984526260771D-002   1.53987178506694D-011
   1.15984266423446D-002   1.56688723667601D-011
   1.17983991686981D-002   1.59390248700545D-011
   1.19983716950516D-002   1.62091773733488D-011
   1.21983449663621D-002   1.64793308830413D-011
   1.23983174927156D-002   1.67494833863357D-011
   1.25982907640261D-002   1.70196368960282D-011
   1.27982640353366D-002   1.72897904057208D-011
   1.29982358167332D-002   1.75599419026169D-011
   1.31982090880437D-002   1.78300954123094D-011
   1.33981823593542D-002   1.81002489220020D-011
   1.35981556306647D-002   1.83704024316945D-011
   1.37981274120612D-002   1.86405539285906D-011
   1.39981006833717D-002   1.89107074382832D-011
   1.41980739546822D-002   1.91808609479757D-011
   1.43980457360787D-002   1.94510124448718D-011
   1.45980190073892D-002   1.97211659545644D-011
   1.47979922786997D-002   1.99913194642569D-011
   1.49979655500102D-002   2.02614729739495D-011
   1.51979373314068D-002   2.05316244708456D-011
   1.53979106027173D-002   2.08017779805381D-011
   1.55978838740278D-002   2.10719314902307D-011
   1.57978571453383D-002   2.13420849999232D-011
   1.59978289267348D-002   2.16122364968194D-011
   1.61978021980453D-002   2.18823900065119D-011
   1.63977739794418D-002   2.21525415034080D-011
   1.65977487406663D-002   2.24226970258970D-011
   1.67977205220628D-002   2.26928485227931D-011
   1.69976937933733D-002   2.29630020324856D-011
   1.71976670646838D-002   2.32331555421782D-011
   1.73976388460804D-002   2.35033070390743D-011
   1.75976121173909D-002   2.37734605487669D-011
   1.77975838987874D-002   2.40436120456630D-011
   1.79975586600119D-002   2.43137675681519D-011
   1.81975319313223D-002   2.45839210778445D-011
   1.83975037127189D-002   2.48540725747406D-011
   1.85974769840294D-002   2.51242260844332D-011
   1.87974487654259D-002   2.53943775813293D-011
   1.89974220367364D-002   2.56645310910218D-011
   1.91973953080469D-002   2.59346846007144D-011
   1.93973670894435D-002   2.62048360976105D-011
   1.95973418506679D-002   2.64749916200995D-011
   1.97973136320645D-002   2.67451431169956D-011
   1.99972869033749D-002   2.70152966266881D-011
   2.01972601746854D-002   2.72854501363807D-011
   2.03972319560820D-002   2.75556016332768D-011
   2.05972052273925D-002   2.78257551429693D-011
   2.07971770087890D-002   2.80959066398655D-011
   2.09971502800995D-002   2.83660601495580D-011
   2.11971250413240D-002   2.86362156720470D-011
   2.13970968227205D-002   2.89063671689431D-011
   2.15970700940310D-002   2.91765206786356D-011
   2.17970418754275D-002   2.94466721755318D-011
   2.19970151467380D-002   2.97168256852243D-011
   2.21969884180485D-002   2.99869791949168D-011
   2.23969601994451D-002   3.02571306918130D-011
   2.25969349606695D-002   3.05272862143019D-011
   2.27969052521521D-002   3.07974356984016D-011
   2.29968800133766D-002   3.10675912208906D-011
   2.31968532846871D-002   3.13377447305831D-011
   2.33968250660836D-002   3.16078962274793D-011
   2.35967983373941D-002   3.18780497371718D-011
   2.37967701187906D-002   3.21482012340679D-011
   2.39967433901011D-002   3.24183547437605D-011
   2.41967181513256D-002   3.26885102662494D-011
   2.43966899327221D-002   3.29586617631456D-011
   2.45966632040326D-002   3.32288152728381D-011
   2.47966349854292D-002   3.34989667697342D-011
   2.49966082567397D-002   3.37691202794268D-011
   2.51965815280502D-002   3.40392737891193D-011
   2.53965547993607D-002   3.43094272988119D-011
   2.55965280706712D-002   3.45795808085044D-011
   2.57964983621537D-002   3.48497302926041D-011
   2.59964716334642D-002   3.51198838022967D-011
   2.61964449047747D-002   3.53900373119892D-011
   2.63964181760852D-002   3.56601908216817D-011
   2.65963914473957D-002   3.59303443313743D-011
   2.67963647187062D-002   3.62004978410668D-011
   2.69963379900167D-002   3.64706513507594D-011
   2.71963112613272D-002   3.67408048604519D-011
   2.73962815528098D-002   3.70109543445516D-011
   2.75962548241203D-002   3.72811078542442D-011
   2.77962280954308D-002   3.75512613639367D-011
   2.79962013667413D-002   3.78214148736293D-011
   2.81961746380518D-002   3.80915683833218D-011
   2.83961479093623D-002   3.83617218930143D-011
   2.85961211806728D-002   3.86318754027069D-011
   2.87960914721554D-002   3.89020248868066D-011
   2.89960647434659D-002   3.91721783964991D-011
   2.91960380147764D-002   3.94423319061917D-011
   2.93960112860868D-002   3.97124854158842D-011
   2.95959845573973D-002   3.99826389255768D-011
   2.97959548488799D-002   4.02527884096765D-011
   2.99959311000183D-002   4.05229459449618D-011
   3.01959043713288D-002   4.07930994546544D-011
   3.03958746628114D-002   4.10632489387541D-011
   3.05958479341219D-002   4.13334024484466D-011
   3.07958212054324D-002   4.16035559581392D-011
   3.09957944767429D-002   4.18737094678317D-011
   3.11957677480534D-002   4.21438629775243D-011
   3.13957410193639D-002   4.24140164872168D-011
   3.15957142906744D-002   4.26841699969094D-011
   3.17956845821570D-002   4.29543194810091D-011
   3.19956578534675D-002   4.32244729907016D-011
   3.21956311247780D-002   4.34946265003942D-011
   3.23956043960885D-002   4.37647800100867D-011
   3.25955746875711D-002   4.40349294941864D-011
   3.27955479588815D-002   4.43050830038790D-011
   3.29955242100200D-002   4.45752405391643D-011
   3.31954974813305D-002   4.48453940488569D-011
   3.33954707526410D-002   4.51155475585494D-011
   3.35954410441235D-002   4.53856970426491D-011
   3.37954143154340D-002   4.56558505523417D-011
   3.39953875867445D-002   4.59260040620342D-011
   3.41953608580550D-002   4.61961575717267D-011
   3.43953341293655D-002   4.64663110814193D-011
   3.45953044208481D-002   4.67364605655190D-011
   3.47952776921586D-002   4.70066140752115D-011
   3.49952509634691D-002   4.72767675849041D-011
   3.51952242347796D-002   4.75469210945966D-011
   3.53951975060901D-002   4.78170746042892D-011
   3.55951677975727D-002   4.80872240883889D-011
   3.57951410688832D-002   4.83573775980814D-011
   3.59951173200216D-002   4.86275351333668D-011
   3.61950905913321D-002   4.88976886430593D-011
   3.63950638626426D-002   4.91678421527519D-011
   3.65950341541252D-002   4.94379916368516D-011
   3.67950074254357D-002   4.97081451465441D-011
   3.69949806967462D-002   4.99782986562367D-011
   3.71949539680566D-002   5.02484521659292D-011
   3.73949272393671D-002   5.05186056756218D-011
   3.75948975308497D-002   5.07887551597215D-011
   3.77948708021602D-002   5.10589086694140D-011
   3.79948440734707D-002   5.13290621791066D-011
   3.81948173447812D-002   5.15992156887991D-011
   3.83947906160917D-002   5.18693691984916D-011
   3.85947609075743D-002   5.21395186825913D-011
   3.87947341788848D-002   5.24096721922839D-011
   3.89947074501953D-002   5.26798257019764D-011
   3.91946837013337D-002   5.29499832372618D-011
   3.93946569726442D-002   5.32201367469544D-011
   3.95946272641268D-002   5.34902862310541D-011
   3.97946005354373D-002   5.37604397407466D-011
   3.99945738067478D-002   5.40305932504392D-011
   4.01945470780583D-002   5.43007467601317D-011
   4.03945203493688D-002   5.45709002698242D-011
   4.05944906408513D-002   5.48410497539240D-011
   4.07944639121619D-002   5.51112032636165D-011
   4.09944371834723D-002   5.53813567733090D-011
   4.11944104547828D-002   5.56515102830016D-011
   4.13943837260933D-002   5.59216637926941D-011
   4.15943540175759D-002   5.61918132767938D-011
   4.17943272888864D-002   5.64619667864864D-011
   4.19943005601969D-002   5.67321202961789D-011
   4.21942768113353D-002   5.70022778314643D-011
   4.23942500826458D-002   5.72724313411568D-011
   4.25942203741284D-002   5.75425808252565D-011
   4.27941936454389D-002   5.78127343349491D-011
   4.29941669167494D-002   5.80828878446416D-011
   4.31941401880599D-002   5.83530413543342D-011
   4.33941134593704D-002   5.86231948640267D-011
   4.35940837508530D-002   5.88933443481264D-011
   4.37940570221635D-002   5.91634978578190D-011
   4.39940302934740D-002   5.94336513675115D-011
   4.41940035647845D-002   5.97038048772041D-011
   4.43939768360950D-002   5.99739583868966D-011
   4.45939471275775D-002   6.02441078709963D-011
   4.47939203988880D-002   6.05142613806888D-011
   4.49938936701985D-002   6.07844148903814D-011
   4.51938699213369D-002   6.10545724256668D-011
   4.53938431926474D-002   6.13247259353593D-011
   4.55938105043021D-002   6.15948713938662D-011
   4.57937867554405D-002   6.18650289291516D-011
   4.59937600267510D-002   6.21351824388441D-011
   4.61937332980615D-002   6.24053359485367D-011
   4.63937065693720D-002   6.26754894582292D-011
   4.65936768608546D-002   6.29456389423289D-011
   4.67936501321651D-002   6.32157924520214D-011
   4.69936234034756D-002   6.34859459617140D-011
   4.71935966747861D-002   6.37560994714065D-011
   4.73935699460966D-002   6.40262529810991D-011
   4.75935402375792D-002   6.42964024651988D-011
   4.77935135088897D-002   6.45665559748913D-011
   4.79934867802002D-002   6.48367094845839D-011
   4.81934600515107D-002   6.51068629942764D-011
   4.83934363026491D-002   6.53770205295618D-011
   4.85934036143037D-002   6.56471659880687D-011
   4.87933798654421D-002   6.59173235233540D-011
   4.89933531367526D-002   6.61874770330466D-011
   4.91933264080631D-002   6.64576305427391D-011
   4.93932996793736D-002   6.67277840524317D-011
   4.95932699708562D-002   6.69979335365314D-011
   4.97932432421667D-002   6.72680870462239D-011
   4.99932165134772D-002   6.75382405559165D-011
   5.01931927646156D-002   6.78083980912018D-011
   5.03931630560982D-002   6.80785475753015D-011
   5.05931333475808D-002   6.83486970594013D-011
   5.07931095987192D-002   6.86188545946866D-011
   5.09930798902018D-002   6.88890040787863D-011
   5.11930561413402D-002   6.91591616140717D-011
   5.13930264328228D-002   6.94293110981714D-011
   5.15929967243054D-002   6.96994605822711D-011
   5.17929729754438D-002   6.99696181175565D-011
   5.19929432669264D-002   7.02397676016562D-011
   5.21929195180648D-002   7.05099251369416D-011
   5.23928898095473D-002   7.07800746210413D-011
   5.25928601010299D-002   7.10502241051410D-011
   5.27928363521683D-002   7.13203816404264D-011
   5.29928066436509D-002   7.15905311245261D-011
   5.31927828947893D-002   7.18606886598115D-011
   5.33927591459277D-002   7.21308461950969D-011
   5.35927294374103D-002   7.24009956791966D-011
   5.37926997288929D-002   7.26711451632963D-011
   5.39926759800313D-002   7.29413026985816D-011
   5.41926462715139D-002   7.32114521826814D-011
   5.43926225226523D-002   7.34816097179667D-011
   5.45925928141349D-002   7.37517592020664D-011
   5.47925631056175D-002   7.40219086861661D-011
   5.49925393567559D-002   7.42920662214515D-011
   5.51925096482385D-002   7.45622157055512D-011
   5.53924858993769D-002   7.48323732408366D-011
   5.55924561908595D-002   7.51025227249363D-011
   5.57924264823420D-002   7.53726722090360D-011
   5.59924027334804D-002   7.56428297443214D-011
   5.61923789846189D-002   7.59129872796068D-011
   5.63923492761014D-002   7.61831367637065D-011
   5.65923195675840D-002   7.64532862478062D-011
   5.67922958187224D-002   7.67234437830916D-011
   5.69922661102050D-002   7.69935932671913D-011
   5.71922423613434D-002   7.72637508024767D-011
   5.73922126528260D-002   7.75339002865764D-011
   5.75921829443086D-002   7.78040497706761D-011
   5.77921591954470D-002   7.80742073059615D-011
   5.79921294869296D-002   7.83443567900612D-011
   5.81921057380680D-002   7.86145143253465D-011
   5.83920760295506D-002   7.88846638094462D-011
   5.85920463210332D-002   7.91548132935460D-011
   5.87920225721716D-002   7.94249708288313D-011
   5.89919928636542D-002   7.96951203129310D-011
   5.91919691147926D-002   7.99652778482164D-011
   5.93919453659310D-002   8.02354353835018D-011
   5.95919096977577D-002   8.05055768164158D-011
   5.97918859488961D-002   8.07757343517012D-011
   5.99918622000346D-002   8.10458918869866D-011
   6.01918324915171D-002   8.13160413710863D-011
   6.03918087426556D-002   8.15861989063717D-011
   6.05917790341381D-002   8.18563483904714D-011
   6.07917493256207D-002   8.21264978745711D-011
   6.09917255767591D-002   8.23966554098565D-011
   6.11916958682417D-002   8.26668048939562D-011
   6.13916721193801D-002   8.29369624292416D-011
   6.15916424108627D-002   8.32071119133413D-011
   6.17916127023453D-002   8.34772613974410D-011
   6.19915889534837D-002   8.37474189327264D-011
   6.21915592449663D-002   8.40175684168261D-011
   6.23915354961047D-002   8.42877259521115D-011
   6.25915057875873D-002   8.45578754362112D-011
   6.27914820387257D-002   8.48280329714965D-011
   6.29914523302083D-002   8.50981824555962D-011
   6.31914285813467D-002   8.53683399908816D-011
   6.33913988728293D-002   8.56384894749813D-011
   6.35913691643118D-002   8.59086389590810D-011
   6.37913454154502D-002   8.61787964943664D-011
   6.39913157069328D-002   8.64489459784661D-011
   6.41912859984154D-002   8.67190954625658D-011
   6.43912622495538D-002   8.69892529978512D-011
   6.45912325410364D-002   8.72594024819509D-011
   6.47912087921748D-002   8.75295600172363D-011
   6.49911790836574D-002   8.77997095013360D-011
   6.51911493751400D-002   8.80698589854357D-011
   6.53911315859342D-002   8.83400245719068D-011
   6.55910959177610D-002   8.86101660048208D-011
   6.57910781285552D-002   8.88803315912918D-011
   6.59910484200378D-002   8.91504810753916D-011
   6.61910127518645D-002   8.94206225083056D-011
   6.63909949626588D-002   8.96907880947766D-011
   6.65909652541414D-002   8.99609375788763D-011
   6.67909415052798D-002   9.02310951141617D-011
   6.69909117967624D-002   9.05012445982614D-011
   6.71908820882450D-002   9.07713940823611D-011
   6.73908583393834D-002   9.10415516176465D-011
   6.75908286308659D-002   9.13117011017462D-011
   6.77908048820044D-002   9.15818586370316D-011
   6.79907751734869D-002   9.18520081211313D-011
   6.81907454649695D-002   9.21221576052310D-011
   6.83907217161079D-002   9.23923151405164D-011
   6.85906920075905D-002   9.26624646246161D-011
   6.87906682587289D-002   9.29326221599015D-011
   6.89906385502115D-002   9.32027716440012D-011
   6.91906088416941D-002   9.34729211281009D-011
   6.93905850928325D-002   9.37430786633863D-011
   6.95905553843151D-002   9.40132281474860D-011
   6.97905316354535D-002   9.42833856827714D-011
   6.99905019269361D-002   9.45535351668711D-011
   7.01904722184187D-002   9.48236846509708D-011
   7.03904484695571D-002   9.50938421862562D-011
   7.05904187610397D-002   9.53639916703559D-011
   7.07903950121781D-002   9.56341492056412D-011
   7.09903653036606D-002   9.59042986897410D-011
   7.11903355951432D-002   9.61744481738407D-011
   7.13903118462816D-002   9.64446057091260D-011
   7.15902821377642D-002   9.67147551932257D-011
   7.17902643485585D-002   9.69849207796968D-011
   7.19902346400410D-002   9.72550702637965D-011
   7.21901989718678D-002   9.75252116967105D-011
   7.23901811826620D-002   9.77953772831816D-011
   7.25901514741446D-002   9.80655267672813D-011
   7.27901277252830D-002   9.83356843025667D-011
   7.29900980167656D-002   9.86058337866664D-011
   7.31900683082482D-002   9.88759832707661D-011
   7.33900445593866D-002   9.91461408060515D-011
   7.35900148508692D-002   9.94162902901512D-011
   7.37899911020076D-002   9.96864478254365D-011
   7.39899613934902D-002   9.99565973095362D-011
   7.41899316849728D-002   1.00226746793636D-010
   7.43899079361112D-002   1.00496904328921D-010
   7.45898782275938D-002   1.00767053813021D-010
   7.47898544787322D-002   1.01037211348306D-010
   7.49898247702147D-002   1.01307360832406D-010
   7.51897950616973D-002   1.01577510316506D-010
   7.53897713128357D-002   1.01847667851791D-010
   7.55897416043183D-002   1.02117817335891D-010
   7.57897178554567D-002   1.02387974871176D-010
   7.59896881469393D-002   1.02658124355276D-010
   7.61896584384219D-002   1.02928273839376D-010
   7.63896346895603D-002   1.03198431374661D-010
   7.65896049810429D-002   1.03468580858761D-010
   7.67895812321813D-002   1.03738738394046D-010
   7.69895515236639D-002   1.04008887878146D-010
   7.71895218151465D-002   1.04279037362246D-010
   7.73894980662849D-002   1.04549194897531D-010
   7.75894683577675D-002   1.04819344381631D-010
   7.77894505685617D-002   1.05089509968102D-010
   7.79894149003885D-002   1.05359651401016D-010
   7.81893851918711D-002   1.05629800885115D-010
   7.83893674026653D-002   1.05899966471587D-010
   7.85893376941479D-002   1.06170115955686D-010
   7.87893139452863D-002   1.06440273490972D-010
   7.89892842367688D-002   1.06710422975071D-010
   7.91892545282514D-002   1.06980572459171D-010
   7.93892307793898D-002   1.07250729994456D-010
   7.95892010708724D-002   1.07520879478556D-010
   7.97891773220108D-002   1.07791037013842D-010
   7.99891476134934D-002   1.08061186497941D-010
   8.01891179049760D-002   1.08331335982041D-010
   8.03890941561144D-002   1.08601493517326D-010
   8.05890644475970D-002   1.08871643001426D-010
   8.07890406987354D-002   1.09141800536711D-010
   8.09890109902180D-002   1.09411950020811D-010
   8.11889812817006D-002   1.09682099504911D-010
   8.13889575328390D-002   1.09952257040196D-010
   8.15889278243216D-002   1.10222406524296D-010
   8.17889040754600D-002   1.10492564059581D-010
   8.19888743669426D-002   1.10762713543681D-010
   8.21888446584251D-002   1.11032863027781D-010
   8.23888209095636D-002   1.11303020563066D-010
   8.25887912010461D-002   1.11573170047166D-010
